tid,time,tweet
315279117673197568,Sat Mar 23 01:49:33 +0000 2013,Sweeeet! I earned $105.29 so far just filling out a couple of surveys. http://t.co/X6bz3CkWUC
314951170475048960,Fri Mar 22 04:06:25 +0000 2013,Aweesomeee! I made $193.33 this week so far taking some surveys. http://t.co/cSj4K9g8bJ
314085114197966849,Tue Mar 19 18:45:01 +0000 2013,Sweeeet! I got $107.93 so far just filling out surveys. http://t.co/0VHiSouNTq
313722081810452481,Mon Mar 18 18:42:27 +0000 2013,Awesome! I earned $197.45 this week so far just taking some surveys. http://t.co/eiA3Xd4WPv
307067647827259394,Thu Feb 28 10:00:06 +0000 2013,http://t.co/NQRvnx7ilF  25 17 альбом скачать бесплатно
298866055667929088,Tue Feb 05 18:49:54 +0000 2013,RT @semonkey999: Work From Home http://t.co/Suga4FE3
293009255018164225,Sun Jan 20 14:57:04 +0000 2013,RT @MusclepharmPres: All my #upearlytotrain peepsFollow --&gt; @BradPyatt today!Fellow Cofounder of @MusclePharm
292233301572337664,Fri Jan 18 11:33:43 +0000 2013,RT @semonkey999: Video &amp; photo http://t.co/1DWvia2a
280794902986620929,Mon Dec 17 22:01:36 +0000 2012,What are Raspberry Ketone? http://t.co/mMJaj0XC
280079447154106369,Sat Dec 15 22:38:38 +0000 2012,I show you how to make money  online. Working about 3 hours a day http://t.co/ThGrNj1x
276953794028388352,Fri Dec 07 07:38:24 +0000 2012,Hey Hey you've got to check out how I made $521 today online! http://t.co/au5wOTRS
256877164048302080,Fri Oct 12 22:01:03 +0000 2012,Siick! I earned $95.89 so far from like surveys! Waiting for more! LOOK &gt; http://t.co/BQ0Fc8HG
256537554671763456,Thu Oct 11 23:31:33 +0000 2012,Sweeet! I got paid $90.19 so far from surveys! Excited for more! LOOK &gt; http://t.co/bUgmY3qt
256158165144567809,Wed Oct 10 22:24:00 +0000 2012,Siick! I got $99.23 so far from surveys! Can't wait for more! LOOK &gt; http://t.co/FWtin8We
255720207753043968,Tue Oct 09 17:23:43 +0000 2012,Sweeet! I earned $105.32 so far from like surveys! Waiting for more! LOOK &gt; http://t.co/tc2ilmsM
255581741299945472,Tue Oct 09 08:13:30 +0000 2012,Sweeet! I earned $106.38 so far from like surveys! Cant wait for more! LOOK &gt; http://t.co/L3r6c3VZ
254992981583622144,Sun Oct 07 17:13:59 +0000 2012,Cool! I got $72.46 so far by doing surveys! Cant wait for more! LOOK &gt; http://t.co/g6auWN68
254616389745246208,Sat Oct 06 16:17:32 +0000 2012,Sweeet! I made $114.85 so far by doing surveys! Cant wait for more! LOOK &gt; http://t.co/QoBzZZxw
254242721244532736,Fri Oct 05 15:32:43 +0000 2012,Sweeet! I got paid $108.15 so far by doing surveys! Excited for more! LOOK &gt; http://t.co/Gv4QondD
253946523304484864,Thu Oct 04 19:55:43 +0000 2012,Sweeet! I earned $89.89 so far from surveys! Cant wait for more! LOOK &gt; http://t.co/DICcdntm
253523370962997248,Wed Oct 03 15:54:16 +0000 2012,Awesome! I made $96.51 so far from like surveys! Can't wait for more! LOOK &gt; http://t.co/uADnHzwK
253255860485230592,Tue Oct 02 22:11:17 +0000 2012,Siick! I got $102.45 so far from surveys! Cant wait for more! LOOK &gt; http://t.co/G9DkIXkB
252801782080741376,Mon Oct 01 16:06:56 +0000 2012,Cool! I got $83.54 so far from surveys! Excited for more! LOOK &gt; http://t.co/XmU1puNb
252569858233999360,Mon Oct 01 00:45:21 +0000 2012,Cool! I made $74.77 so far from surveys! Excited for more! LOOK &gt; http://t.co/w9f6154F
249589924360228864,Sat Sep 22 19:24:09 +0000 2012,Siick! I got $101.59 so far by doing surveys! Waiting for more! LOOK &gt; http://t.co/c3EqpPJI
249163343380766720,Fri Sep 21 15:09:04 +0000 2012,Siick! I earned $81.21 so far from like surveys! Cant wait for more! LOOK &gt; http://t.co/wDjYdfjH
248816057572265984,Thu Sep 20 16:09:05 +0000 2012,Sweeet! I earned $139.78 so far by doing surveys! Waiting for more! LOOK &gt; http://t.co/brWAPMut
5024147470,Tue Oct 20 18:16:53 +0000 2009,find frend
