tid,time,tweet
335204758761660416,Fri May 17 01:26:56 +0000 2013,NEVERSAYNEVERkeep promote this account and NEVERSAYNEVER ! :D
332707714906075136,Fri May 10 04:04:35 +0000 2013,SurvivorSeriesNot incredibly excited for SurvivorSeries but will prob still be ordering it.
330565535681093633,Sat May 04 06:12:19 +0000 2013,RT if you want me to follow you.
318415497081286656,Sun Mar 31 17:32:25 +0000 2013,Behind my smile is a million tears you'll never see...
314672487143190528,Thu Mar 21 09:39:01 +0000 2013,indescriablethinking about when all this pain and struggle is gonna amount to success that feeling #indescriable
303784637560397824,Tue Feb 19 08:34:36 +0000 2013,WTFLoserEd Balls cries when he watches Antique's Roadshow ?? #WTF #Loser !
279614916355297281,Fri Dec 14 15:52:45 +0000 2012,Just Got Back From The Gym Im So Sore Right now
279131779661701120,Thu Dec 13 07:52:56 +0000 2012,Bom descanso a todos.
277939380654579712,Mon Dec 10 00:54:46 +0000 2012,happy thanksgiving everyone!!
276425870783180800,Wed Dec 05 20:40:37 +0000 2012,"""Life is a process of accumulation. We either accumulate the debt or the value, the regret or the equity.""~ Jim Rohn"
273587722935992320,Wed Nov 28 00:42:50 +0000 2012,wifi in the sky
273587628106989568,Wed Nov 28 00:42:28 +0000 2012,Oiee
271974677293985792,Fri Nov 23 13:53:10 +0000 2012,"An optimist is someone who falls off the Empire State Building, and after 50 floors says, 'So far so good!'"
271465445075324928,Thu Nov 22 04:09:40 +0000 2012,"Amanhã vou aparecer de figurante na Record, HAHA. Gravaram uma entrevista com a professora e alguns alunos sobre o novo acordo ortográfico."
269485461649645568,Fri Nov 16 17:01:55 +0000 2012,Iga Bakar Lada Hitam :)
267448415712071681,Sun Nov 11 02:07:25 +0000 2012,You're the only drug i need.
266772809827614721,Fri Nov 09 05:22:48 +0000 2012,Just finished my first laser cutting class at techshop!
266772716621795328,Fri Nov 09 05:22:26 +0000 2012,bom tarde tt
266168833050542080,Wed Nov 07 13:22:49 +0000 2012,hello.. hello good morning! *rick ross's voice*
260437822194991104,Mon Oct 22 17:49:50 +0000 2012,"""Things do not change; we change."" - Walden"
260437727558909952,Mon Oct 22 17:49:27 +0000 2012,imy girlfreind say what ?
258873000693223424,Thu Oct 18 10:11:47 +0000 2012,totaly forgot about this twitter shit
258312478964981762,Tue Oct 16 21:04:28 +0000 2012,aprendinofunkDeus#aprendinofunk Que recalque de puta #Deus nao escutta ;;*
256119920054652928,Wed Oct 10 19:52:02 +0000 2012,I'm not player; I just Love alot ; )
256119813808726017,Wed Oct 10 19:51:36 +0000 2012,hj o twtter ta chatoo :s
253679814714744832,Thu Oct 04 02:15:55 +0000 2012,12月になった(^O^) 今年もあと少しっ！
252105494070689792,Sat Sep 29 18:00:08 +0000 2012,It's amazing how quick things can change
250908892727492608,Wed Sep 26 10:45:16 +0000 2012,"Nice, just won $230 :)"
250570765127254017,Tue Sep 25 12:21:40 +0000 2012,"ApenasTrechosFRASE#ApenasTrechos - O nosso amor é como o vento, você não pode vê-lo, mas eu posso senti-lo . - #FRASE"
248798872854474752,Thu Sep 20 15:00:48 +0000 2012,Im not a sneaker head and i dont know when the next J's coming out I don't wear heels everyday and cake my face up with makeup. Im me :)
243699584075964416,Thu Sep 06 13:18:03 +0000 2012,tweet
239121690989305856,Fri Aug 24 22:07:08 +0000 2012,"In the end, it's not going to matter how many breaths you took, but how many moments took your breath away - Shing Xiong"
234196243662917632,Sat Aug 11 07:55:10 +0000 2012,TeamFollowBackF4FInstantFollowBackFollowMe#TeamFollowBack #F4F #InstantFollowBack #FollowMe
233341947253760001,Wed Aug 08 23:20:30 +0000 2012,time to sleep. Gnight and sleep well tweeps :)
227604911414726656,Tue Jul 24 03:23:34 +0000 2012,n
224744309981847552,Mon Jul 16 05:56:33 +0000 2012,Ok so ppl r gettn their panties tied in a knot over nothing
222888765943857153,Wed Jul 11 03:03:17 +0000 2012,"followbackteamfollowbacknearly got 1000 followers, follow us and we will follow you #followback #teamfollowback"
221790799095005185,Sun Jul 08 02:20:21 +0000 2012,Free yourself live your dreams....Only way to achieve true happiness
220792252891533312,Thu Jul 05 08:12:29 +0000 2012,"i hate this already, fucking hell ."
218058011271372800,Wed Jun 27 19:07:35 +0000 2012,Add my  pin:275C1C7E !!! Bored anyone bbm
