tid,time,tweet
321917122685054976,Wed Apr 10 09:26:37 +0000 2013,buuuuuuu¡¡¡¡¡¡¡¡¡¡¡¡ se acabo el feriado
318327597798924288,Sun Mar 31 11:43:08 +0000 2013,"algustoDark &amp; light, green &amp; yellow, every colour plantain just delivered! #algusto"
314740369537519616,Thu Mar 21 14:08:46 +0000 2013,Yaaaah hujan gbk
309880353793925120,Fri Mar 08 04:16:48 +0000 2013,who is bored?
306072537715073024,Mon Feb 25 16:05:54 +0000 2013,Berhentilah hujan. . .Aku mau pergi kerja haa. .
306072407511285760,Mon Feb 25 16:05:23 +0000 2013,LacruelverdadUna persona cambia por dos razones: aprendió demasiado o sufrió lo suficiente #Lacruelverdad
304886464511090688,Fri Feb 22 09:32:52 +0000 2013,"to sozinha, numa casa meio assustadora, meio não, SUPER assustadora aah D:"
301762859631783938,Wed Feb 13 18:40:46 +0000 2013,paztiuuuuuuuuuuuuuuuu
300617186567921665,Sun Feb 10 14:48:17 +0000 2013,XDDDDDDDDDDDDDDDDDDDDDD
300007964939522050,Fri Feb 08 22:27:27 +0000 2013,QUIT#QUIT
299474782712393728,Thu Feb 07 11:08:46 +0000 2013,Berita bikin gondok  1. Beckham vs syahrini 2. Diego vs Nikita willy si putri yg tertukar tukar entah sama siapa soalnya yg nuker lupa
298506438152683520,Mon Feb 04 19:00:55 +0000 2013,ReasonsToInvadeIranJust OIL #ReasonsToInvadeIran
297158498905640960,Fri Feb 01 01:44:41 +0000 2013,''Patriot Games''
296854002841313280,Thu Jan 31 05:34:44 +0000 2013,Don't Get Made At Me Cause I Look Better Then You --» Blame Your Parents!!!
296853895605522433,Thu Jan 31 05:34:18 +0000 2013,just starting out! please follow me! :)
297160779831050240,Fri Feb 01 01:53:45 +0000 2013,RT @_Yemimah: @_Yemimah: #NEWmusicVIDEO #yemimah Check out the behind the scenes for#MAKEmeFEEL http://t.co/LZktjoz6
