tid,time,tweet
316642364179505152,Tue Mar 26 20:06:37 +0000 2013,love this one! ahahahah! http://t.co/HnKmtASNqQ @eddieizzard
306294611725385728,Tue Feb 26 06:48:20 +0000 2013,No ma tutti sveglioni in Italia! #elezioni2013 #chicazzolhavotato
288047162854604800,Sun Jan 06 22:19:29 +0000 2013,"""I can see the curvature of the Earth and I want to make it flat"" @aof_official #musicmood"
281125699648122880,Tue Dec 18 19:56:04 +0000 2012,"""We make choices and we live with consequences. If someone gets hurt along the way we ask for forgiveness, it's the best anyone can do"""
280761395316944897,Mon Dec 17 19:48:27 +0000 2012,"""Sogni aperti ad occhi chiusi attento a dove vai"" @GuazzoneSTAG #musicmood"
280644524471119872,Mon Dec 17 12:04:03 +0000 2012,"RT @CantoriPievi: I Cantori delle Pievi vi invitano al loro Concerto di Natale ""O nata lux""! In compagnia del Gamma Chorus e dei... http ..."
278244139496267776,Mon Dec 10 21:05:47 +0000 2012,"""ma una pragmatica sensazione di aver rotto il cazzo..."" http://t.co/Rbo4h7FP #silviohairottoilcazzo"
278232607488110592,Mon Dec 10 20:19:57 +0000 2012,"@GiuseppeLoco ah proprio ostuni? cos'è, c'era un ps in fondo alla profezia?"
274962042526519296,Sat Dec 01 19:43:54 +0000 2012,RT @ActuallyNPH: Truly amazing anamorphic illusions! Check this video out: http://t.co/6YzKmoP2
272345309693227009,Sat Nov 24 14:25:56 +0000 2012,RT @HIMYM_CBS: RT to VOTE for HIMYM #networkcomedy #PeoplesChoice. Vote daily here: http://t.co/s4v6yLVn via @peopleschoice
271364280031531008,Wed Nov 21 21:27:40 +0000 2012,"@GiuseppeLoco dai amico, ho giusto qui un tagliaunghie #babla"
271360726331961345,Wed Nov 21 21:13:33 +0000 2012,@GiuseppeLoco ma tu non ti stai chiedendo dov'è finita la gente di Bruegel il Vecchio? #babla
270853364521242624,Tue Nov 20 11:37:28 +0000 2012,@GiuseppeLoco è un'offesa o cosa?
270770284167053312,Tue Nov 20 06:07:21 +0000 2012,it's such a shame there is no more @Partners_CBS! what am I supposed to watch now after @HIMYM_CBS? #partners
270639605395628032,Mon Nov 19 21:28:04 +0000 2012,RT @FloorJansen_: Interview with Tuomas and me for  Metal Hammer UK: The Future Of @NightwishBand http://t.co/B9cosmcx”
254665600440344576,Sat Oct 06 19:33:05 +0000 2012,"RT @MerlinOfficial: ""You don't remember me, do you? You saved my life once many years ago..."" #Merlin #MerlinReturns"
247399540213297152,Sun Sep 16 18:20:21 +0000 2012,"e io che cazzo c'entro? i tuoi casini te li risolvi da te e mi lasci fuori, thank you very much! #fanculo"
227020400083746817,Sun Jul 22 12:40:55 +0000 2012,"""So throw off the bowlines, sail away from the safe harbor. Catch the trade winds in your sails."" (Mark Twain)"
222314067057049602,Mon Jul 09 12:59:38 +0000 2012,RT @DoctorWhoQuote: There's no point being grown-up if you can't be childish sometimes. #doctorwho
220562941387341826,Wed Jul 04 17:01:17 +0000 2012,RT @DoctorWhoQuote: I'm burning up a sun just to say goodbye. #doctorwho
218063295565938688,Wed Jun 27 19:28:35 +0000 2012,RT @DoctorWhoQuote: No second chances. I'm that sort of a man. #doctorwho
215166643356184577,Tue Jun 19 19:38:20 +0000 2012,home sweet home -.-
214424312248139776,Sun Jun 17 18:28:34 +0000 2012,"""Every man needs a muse and mine could be the bottle"" @cityandcolour #musicmood"
212287371188764673,Mon Jun 11 20:57:08 +0000 2012,"""Is this place shaking, or is it me? (...) Stealing tomorrow from today"" @GreatLakeSwim #musicmood"
211835484605911040,Sun Jun 10 15:01:29 +0000 2012,G'day Twitter
