tid,time,tweet
317091351109988352,Thu Mar 28 01:50:44 +0000 2013,Home is where The X-Files is.
316906907308802048,Wed Mar 27 13:37:49 +0000 2013,"RT @Gabrymalvagia: Piena ed incondizionata solidarietà a Patrizia,madre di Federico #Aldovrandi,ucciso barbaramente dalle forze dell'ord ..."
316906776677187584,Wed Mar 27 13:37:18 +0000 2013,RT @GuglielmoW: Giornalisti contro la diretta streaming.. Per forza non hanno nulla da inventarsi per intortare i lettori.
316523227113476096,Tue Mar 26 12:13:12 +0000 2013,@AndrewWMarlowe Thank you for the light. @Castle_ABC #caskett
315467844127186944,Sat Mar 23 14:19:29 +0000 2013,"Earth Hour, l’Ora della Terra: anche #Chieti parteciperà alla “ola di buio” mondiale http://t.co/W77jEtyyhY (@chietiora) Grazie, @udiprimio."
315453065857753088,Sat Mar 23 13:20:46 +0000 2013,RT @udiprimio: Anche #Chieti aderisce all'evento #EarthHour per l'utilizzo consapevole delle risorse energetiche http://t.co/5VzcEyE3D4
315214528436641793,Fri Mar 22 21:32:54 +0000 2013,"Dear people who follow me in the hope you'll get a follow back for the sake of looking good because50,000followers are cool, u are not cool."
312058670492033024,Thu Mar 14 04:32:39 +0000 2013,@IMKristenBell Habemus #veronicamarsmovie
311968975737196544,Wed Mar 13 22:36:14 +0000 2013,"@francyphoebe Exactly. @FrankSpotnitz Please, read this: http://t.co/CpoX7fqyAr We can do it, too. #XF3"
311963602024267777,Wed Mar 13 22:14:53 +0000 2013,"@FrankSpotnitz Did you hear about #veronicamarsmovie? They have collected 1 million in 4 hours. We could do it for XF3, too. We can do it."
311958780797657090,Wed Mar 13 21:55:43 +0000 2013,RT @IMKristenBell: GUYS!! #VERONICAMARSMOVIE just beat @kickstarter record! 1 million in 4 hours!!! you guys are amazing!!!!!
311902511038603264,Wed Mar 13 18:12:08 +0000 2013,@IMKristenBell I'm going to die. #veronicamarsmovie
311900389438017538,Wed Mar 13 18:03:42 +0000 2013,RT @IMKristenBell: GOOD GOD YOU GUYS RULE. #veronicamarsmovie
309421050809159680,Wed Mar 06 21:51:41 +0000 2013,RT @Stana_Katic: http://t.co/joWzSHVsI1
309305274898976769,Wed Mar 06 14:11:38 +0000 2013,"@PgGrilli ""[...] ha un solo obiettivo che non siamo noi"". Hai detto BENE."
309265222579916800,Wed Mar 06 11:32:29 +0000 2013,"@Stana_Katic E tu manchi all'Italia, Stana :)"
309264678121533441,Wed Mar 06 11:30:19 +0000 2013,RT @Stana_Katic: “@PhoneutriaFera: @Stana_Katic dove sei??” Sono a Los Angeles... Ma parlo di Pompei perche mi manca
309238545065852930,Wed Mar 06 09:46:29 +0000 2013,"@Stana_Katic Ok, I officially love you now. Adoro Pompei."
309235385471479808,Wed Mar 06 09:33:55 +0000 2013,RT @Stana_Katic: Making my way into Pompeii http://t.co/ksCzZqQq18
309234556211429376,Wed Mar 06 09:30:38 +0000 2013,RT @Stana_Katic: Welcome mat in ancient Pompeii http://t.co/DhvXSXU0p0
309208779449323520,Wed Mar 06 07:48:12 +0000 2013,@micheleemiliano @annapaolaconcia Vi seguo da un po' e mi chiedo cosa ci facciate nel #PD. Vi ammiro entrambi. Politici di cui essere fieri.
309053922708971522,Tue Mar 05 21:32:51 +0000 2013,"Arrivano i ""grillini"": alla Camera spariscono targhette e vini pregiati. Paura dell'onestà che arranca? http://t.co/EUKq7Hb9Pt @Mov5Stelle"
308184254511210497,Sun Mar 03 11:57:06 +0000 2013,"@DipaoloCristian @GiorgiaBazzocch @LiettAv @SallyCaskett @francyphile @francyphoebe Benvenuto, Crispiiin! #happiness"
307791113115291648,Sat Mar 02 09:54:54 +0000 2013,@Stana_Katic This made my morning. You rock! Ti adoro.
307790732146638849,Sat Mar 02 09:53:23 +0000 2013,RT @Stana_Katic: http://t.co/XUdrI1U4CE
307785625485062144,Sat Mar 02 09:33:06 +0000 2013,"RT: (@SallyCaskett) “@francyphoebe vabbe' siete l'amore :') I LOVE YOU GIRLS, #Always &lt;3”. I love you more than coffee."
307263266181242880,Thu Feb 28 22:57:25 +0000 2013,@francyphoebe @SallyCaskett #sieteunodeimotiviperiqualimireputotremendamentefortunata
307212892988645376,Thu Feb 28 19:37:16 +0000 2013,RT @PrettyDandy: Ci voleva tanto a capire che #berlusconi aveva corrotto #degregorio? Ci vuole ancora molto per metterlo in galera defin ...
306817452203982848,Wed Feb 27 17:25:55 +0000 2013,"@annapaolaconcia Non voto PD, ma sono abruzzese e sarei stata orgogliosa di essere rappresentata da lei al Senato. Sconvolta per Razzi."
306513222083678208,Tue Feb 26 21:17:01 +0000 2013,RT @AndrewWMarlowe: Always.
306509863096315904,Tue Feb 26 21:03:40 +0000 2013,Guida rapida all'elettore. @Mov5Stelle @beppe_grillo #M5S #tsunamitour #BOOOM http://t.co/UZHjy0FW1S
306375726620360704,Tue Feb 26 12:10:40 +0000 2013,"RT @martinacarletti: Finché continuerete a farvi intortare dalla tv, dai partiti tradizionali, non leggerete e non scenderete in piazza, ..."
306204586266488832,Tue Feb 26 00:50:37 +0000 2013,RT @tweetpolitica: Sole24ore -  Lo tsunami di #Grillo travolge i poli dal Veneto alla Sicilia http://t.co/5TPrDQGO5X
306162189545390080,Mon Feb 25 22:02:08 +0000 2013,"RT @AndreaScanzi: Se si rivota, il M5S va al 35. Quindi faranno di tutto per non andarci. Anche a costo di un mega-accrocchio d'emergenz ..."
306142708601344001,Mon Feb 25 20:44:44 +0000 2013,"RT @TgLa7: #elezini2013 #Grillo esclude qualsiasi accordo con altri partiti: sono tutti fallliti, hanno portato paese a catastrofe"
306127931703427072,Mon Feb 25 19:46:01 +0000 2013,"RT @Veronica_Lario: Dopo 19 anni ho avuto il coraggio di separarmene! Dopo 19 anni fatelo anche voi, per il bene vostro e del Paese! #el ..."
306114111958315008,Mon Feb 25 18:51:06 +0000 2013,"RT @martinacarletti: #M5S: siamo dentro, siamo in parlamento. Siamo il primo partito. Già qualcuno é andato a casa, alla prossima ci van ..."
306035977938432000,Mon Feb 25 13:40:37 +0000 2013,"@jimmyballando @Maxprimis @beppe_grillo Intanto, ulteriori notizie di presunti #brogli a BO. Sia lì che da me, coinvolti esponenti del PD."
306029551677489152,Mon Feb 25 13:15:05 +0000 2013,"@martinacarletti Il problema è che, sentendo questo discorso, l'Italiano medio dirà: ""Sti cazzi! Mica ci sarò più fra cinquant'anni!""."
306028461292666883,Mon Feb 25 13:10:45 +0000 2013,"@jimmyballando @beppe_grillo Tra un'ora, allo spoglio, si vigila. Dobbiamo far tornare l'onestà di moda."
306026475381993473,Mon Feb 25 13:02:52 +0000 2013,@jimmyballando @beppe_grillo Ne avremmo bisogno anche a #Chieti. http://t.co/XP13Bx9bD1
305786422718242816,Sun Feb 24 21:08:59 +0000 2013,"RT @FrancescoCoccoT: Ho visto mio nonno,88 anni, con vestito e cravatta della festa per andare a votare, e un po' mi son commosso. Ecco, ..."
305640138527100928,Sun Feb 24 11:27:42 +0000 2013,"RT @mistermicia: Oggi andremo a votare,con i miei amici del gruppo ultras dopo la partita,siamo 70e50 votano #M5S,entreremo tutti insiem ..."
305633268978569216,Sun Feb 24 11:00:24 +0000 2013,Il #M5S di Anzio e Nettuno denuncia #brogli nel seggio di Sacida. Occhi aperti. Riprendiamoci il Paese! http://t.co/WtTLj1CMlr #elezioni2013
305482630181302274,Sun Feb 24 01:01:49 +0000 2013,"I'm not saying that The X-Files is the king of tv shows... Wait a minute. Actually, I'm saying that."
305411929881600001,Sat Feb 23 20:20:53 +0000 2013,Everyone in The X-Files fandom is my bro. We are just wonderful.
305299714235043840,Sat Feb 23 12:54:58 +0000 2013,"@pbecchi Per essere ""qualcuno"" bisogna avere la fedina penale sudicia, nella loro vecchia pseudo-Italia. La paura fa delirare. Ore contate."
305297444848140288,Sat Feb 23 12:45:57 +0000 2013,"RT @pbecchi: Sul ""Foglio""una pennivendola del regime attacca il nostro Salvo come  un Signor nessuno.Non hanno capito che uno vale uno @ ..."
305296231339544576,Sat Feb 23 12:41:08 +0000 2013,RT @Rinaldo_Luciani: Perfetta per questo #silenzioelettorale. Ascoltate e riflettete.  Fabrizio Moro - Barabba (Live): http://t.co/G8phm ...
305251501486530560,Sat Feb 23 09:43:23 +0000 2013,"@ResIpsa422 @scullylouise @IHGAnderson @xJuliaIsLostx @thexfilesru @TheXFilesSpain @AlenaSalenaS @NanyMdq @xphile Thanks, awesome fandom!"
305067919493177344,Fri Feb 22 21:33:54 +0000 2013,@ZanellaRina Davvero? Non ci posso credere. Pazzesco.
305061877707333633,Fri Feb 22 21:09:54 +0000 2013,800.000 persone in piazza San Giovanni questa sera. BOOOOOM! E adesso? Ci vediamo al seggio. #tsunamitour #elezioni2013
305016383543066624,Fri Feb 22 18:09:07 +0000 2013,@Gianfrancodelos Ce lo riprendiamo il Paese! #tuttiacasa #tsunamitour
305015971976974336,Fri Feb 22 18:07:29 +0000 2013,"“Questo Paese ce lo riprendiamo, perché questo Paese è NOSTRO!”. Brividi in piazza San Giovanni. BRI-VI-DI. #tsunamitour"
305001100153589762,Fri Feb 22 17:08:23 +0000 2013,"@martinacarletti Qui è una bolgia. Oggi siamo un bel pezzo di Italia unita, quella che vale. Tutti insieme ce la possiamo fare! #tsunamitour"
304999122199539712,Fri Feb 22 17:00:31 +0000 2013,Tanti tricolori in piazza San Giovanni. C'è un'infinita voglia di essere italiani. Riprendiamoci il Paese! @beppe_grillo #tsunamitour
304982249844113409,Fri Feb 22 15:53:29 +0000 2013,In Piazza San Giovanni si respira aria di futuro. L'Italia s'è desta! @beppe_grillo @Mov5Stelle #tsunamitour
304978260880674816,Fri Feb 22 15:37:38 +0000 2013,@pbecchi Vorrei avere un professore come lei. #tsunamitour
304977634914365442,Fri Feb 22 15:35:09 +0000 2013,"RT @pbecchi: Sono elettrizzato domani con famiglia parto col bus del #M5S. Mi dicono che sono un folle, che un prof non può fare certe c ..."
