tid,time,tweet
317357171736190976,Thu Mar 28 19:27:00 +0000 2013,#Aldrovandi stasera parli tu Patrizia!Giustizia x Federico e giustizia x tutti http://t.co/Z9tpuIC6EP
317349758811377664,Thu Mar 28 18:57:33 +0000 2013,Gerhard Mumelter. Le ossessioni di Beppe Grillo http://t.co/wFYWm0uRSK via @internazionale
313350046458458113,Sun Mar 17 18:04:07 +0000 2013,"Francesco,il sen.Grasso e l'on.Boldrini,che(figata)è pure una donna,non vengono menzionati,buon segno?Speriamo..http://t.co/JV6mCkj8I1"
311905865496150017,Wed Mar 13 18:25:27 +0000 2013,L'unica soluzione http://t.co/CKVW84m4bO Basta...
311368391892008960,Tue Mar 12 06:49:44 +0000 2013,@Corriereit Ma possibile che siamo sempre tra Prodi e Berlusconi?!?e intanto i ragazzi se ne vanno..http://t.co/rzGHZMwn0d
309717920144031744,Thu Mar 07 17:31:21 +0000 2013,RT @criberenice: a chi non fosse chiaro il ciclo vitale della tenia consiglio la biografia di Capezzone #uominiparassiti
309717835301658626,Thu Mar 07 17:31:00 +0000 2013,RT @criberenice: campagna di sensibilizzazione...salviamo il congiuntivo http://t.co/MYcOWcbLkP
309552438128566272,Thu Mar 07 06:33:47 +0000 2013,Grillo e la crisi. Il tempo della protesta e quello della responsabilità - Il Sole 24 ORE http://t.co/j2U4G9kofL via @sole24ore
308342545275043840,Sun Mar 03 22:26:06 +0000 2013,@pbersani Nella casa?Giocate al Grande Fratello anche voi?Figo!Allora il mio televoto va all'Ottusangolo
308341213558349824,Sun Mar 03 22:20:48 +0000 2013,RT @elpme10: Ma è la replica di #chetempochefa? #tsunami #presadiretta
308339315103113219,Sun Mar 03 22:13:16 +0000 2013,@rosso_di_sera @pinucciotwit @ementana È questo che è allucinante!Poi vedi la Campania che lo vota x il condono e capisci #presadiretta
308330792453558272,Sun Mar 03 21:39:24 +0000 2013,Direi che non #CiSonoTracceDi giustizia nei processi in Italia.Neanche oggi #thyssenkrupp
308327136492658689,Sun Mar 03 21:24:52 +0000 2013,@maxbertax Sarebbe da concludere che siano corrotti in molti.O forse sono tutti folli??Tranne il sig del voto disgiunto:bravo!#presadiretta
