UserID,Year,Month,Tweet,Label,Typo
22903,2011,12,26,Genuine,Tweet
22903,2012,1,2,Genuine,Tweet
22903,2012,3,1,Genuine,Tweet
22903,2012,4,1,Genuine,Tweet
22903,2012,5,1,Genuine,Tweet
22903,2012,6,4,Genuine,Tweet
22903,2012,7,1,Genuine,Tweet
22903,2013,2,1,Genuine,Tweet
22903,2013,4,11,Genuine,Tweet
22903,2013,5,7,Genuine,Tweet
24503,2009,7,52,Genuine,Tweet
24503,2009,8,70,Genuine,Tweet
24503,2009,9,30,Genuine,Tweet
24503,2009,10,62,Genuine,Tweet
24503,2009,11,70,Genuine,Tweet
24503,2009,12,74,Genuine,Tweet
24503,2010,1,109,Genuine,Tweet
24503,2010,2,55,Genuine,Tweet
24503,2010,3,36,Genuine,Tweet
24503,2010,4,56,Genuine,Tweet
24503,2010,5,68,Genuine,Tweet
24503,2010,6,28,Genuine,Tweet
24503,2010,7,20,Genuine,Tweet
24503,2010,8,8,Genuine,Tweet
24503,2010,9,50,Genuine,Tweet
24503,2010,10,55,Genuine,Tweet
24503,2010,11,43,Genuine,Tweet
24503,2010,12,47,Genuine,Tweet
24503,2011,1,61,Genuine,Tweet
24503,2011,2,32,Genuine,Tweet
24503,2011,3,32,Genuine,Tweet
24503,2011,4,26,Genuine,Tweet
24503,2011,5,55,Genuine,Tweet
24503,2011,6,40,Genuine,Tweet
24503,2011,7,22,Genuine,Tweet
24503,2011,8,6,Genuine,Tweet
24503,2011,9,48,Genuine,Tweet
24503,2011,10,58,Genuine,Tweet
24503,2011,11,61,Genuine,Tweet
24503,2011,12,32,Genuine,Tweet
24503,2012,1,35,Genuine,Tweet
24503,2012,2,85,Genuine,Tweet
24503,2012,3,101,Genuine,Tweet
24503,2012,4,55,Genuine,Tweet
24503,2012,5,86,Genuine,Tweet
24503,2012,6,61,Genuine,Tweet
24503,2012,7,29,Genuine,Tweet
24503,2012,8,17,Genuine,Tweet
24503,2012,9,49,Genuine,Tweet
24503,2012,10,70,Genuine,Tweet
24503,2012,11,40,Genuine,Tweet
24503,2012,12,96,Genuine,Tweet
24503,2013,1,159,Genuine,Tweet
24503,2013,2,65,Genuine,Tweet
24503,2013,3,95,Genuine,Tweet
24503,2013,4,23,Genuine,Tweet
24503,2013,5,67,Genuine,Tweet
24503,2013,6,25,Genuine,Tweet
286543,2011,1,38,Genuine,Tweet
286543,2011,2,54,Genuine,Tweet
286543,2011,3,76,Genuine,Tweet
286543,2011,4,54,Genuine,Tweet
286543,2011,5,74,Genuine,Tweet
286543,2011,6,89,Genuine,Tweet
286543,2011,7,82,Genuine,Tweet
286543,2011,8,66,Genuine,Tweet
286543,2011,9,68,Genuine,Tweet
286543,2011,10,69,Genuine,Tweet
286543,2011,11,46,Genuine,Tweet
286543,2011,12,49,Genuine,Tweet
286543,2012,1,57,Genuine,Tweet
286543,2012,2,74,Genuine,Tweet
286543,2012,3,58,Genuine,Tweet
286543,2012,4,70,Genuine,Tweet
286543,2012,5,75,Genuine,Tweet
286543,2012,6,62,Genuine,Tweet
286543,2012,7,84,Genuine,Tweet
286543,2012,8,58,Genuine,Tweet
286543,2012,9,72,Genuine,Tweet
286543,2012,10,110,Genuine,Tweet
286543,2012,11,102,Genuine,Tweet
286543,2012,12,87,Genuine,Tweet
286543,2013,1,62,Genuine,Tweet
286543,2013,2,67,Genuine,Tweet
286543,2013,3,39,Genuine,Tweet
382393,2008,6,1,Genuine,Tweet
382393,2008,8,2,Genuine,Tweet
382393,2008,9,7,Genuine,Tweet
382393,2008,10,2,Genuine,Tweet
382393,2008,11,6,Genuine,Tweet
382393,2009,1,1,Genuine,Tweet
382393,2009,3,2,Genuine,Tweet
382393,2009,4,8,Genuine,Tweet
382393,2009,5,13,Genuine,Tweet
382393,2009,6,26,Genuine,Tweet
382393,2009,7,10,Genuine,Tweet
382393,2009,8,5,Genuine,Tweet
382393,2009,9,4,Genuine,Tweet
382393,2009,10,5,Genuine,Tweet
382393,2009,11,9,Genuine,Tweet
382393,2009,12,8,Genuine,Tweet
382393,2010,1,23,Genuine,Tweet
382393,2010,2,10,Genuine,Tweet
382393,2010,3,18,Genuine,Tweet
382393,2010,4,18,Genuine,Tweet
382393,2010,5,8,Genuine,Tweet
382393,2010,6,24,Genuine,Tweet
382393,2010,7,15,Genuine,Tweet
382393,2010,8,5,Genuine,Tweet
382393,2010,9,17,Genuine,Tweet
382393,2010,10,26,Genuine,Tweet
382393,2010,11,11,Genuine,Tweet
382393,2010,12,17,Genuine,Tweet
382393,2011,1,18,Genuine,Tweet
382393,2011,2,21,Genuine,Tweet
382393,2011,3,16,Genuine,Tweet
382393,2011,4,19,Genuine,Tweet
382393,2011,5,4,Genuine,Tweet
382393,2011,6,13,Genuine,Tweet
382393,2011,7,9,Genuine,Tweet
382393,2011,8,21,Genuine,Tweet
382393,2011,9,26,Genuine,Tweet
382393,2011,10,20,Genuine,Tweet
382393,2011,11,22,Genuine,Tweet
382393,2011,12,14,Genuine,Tweet
382393,2012,1,4,Genuine,Tweet
382393,2012,2,21,Genuine,Tweet
382393,2012,3,24,Genuine,Tweet
382393,2012,4,51,Genuine,Tweet
382393,2012,5,23,Genuine,Tweet
382393,2012,6,12,Genuine,Tweet
382393,2012,7,20,Genuine,Tweet
382393,2012,8,13,Genuine,Tweet
382393,2012,9,8,Genuine,Tweet
382393,2012,10,6,Genuine,Tweet
382393,2012,11,2,Genuine,Tweet
382393,2012,12,2,Genuine,Tweet
382393,2013,1,3,Genuine,Tweet
382393,2013,2,4,Genuine,Tweet
382393,2013,3,4,Genuine,Tweet
382393,2013,4,2,Genuine,Tweet
382393,2013,5,8,Genuine,Tweet
382393,2013,6,1,Genuine,Tweet
438023,2007,1,16,Genuine,Tweet
438023,2007,2,5,Genuine,Tweet
438023,2007,3,3,Genuine,Tweet
438023,2007,4,8,Genuine,Tweet
438023,2007,5,12,Genuine,Tweet
438023,2007,6,7,Genuine,Tweet
438023,2007,7,3,Genuine,Tweet
438023,2007,8,1,Genuine,Tweet
438023,2007,9,1,Genuine,Tweet
438023,2007,10,1,Genuine,Tweet
438023,2007,11,1,Genuine,Tweet
438023,2007,12,3,Genuine,Tweet
