s_no,pca_1,pca_2,Label,tweet_count,lda_1
0,0.188812142,0.027699989,Legitimate User,20370,3.724781855
1,0.016508886,-0.005520731,Legitimate User,3131,0.505460011
2,0.020250334,-0.019721239,Legitimate User,4024,0.913554023
3,0.336810057,-0.0992207,Legitimate User,40586,9.890328
4,0.002932023,-0.015143194,Legitimate User,2016,0.413056329
5,0.017863875,-0.014933488,Legitimate User,3603,0.745963097
6,-0.002772085,-0.008698127,Legitimate User,1183,0.136690313
7,0.060447992,0.041349577,Legitimate User,6194,0.419850966
8,0.092200352,0.00106342,Legitimate User,10962,2.571782484
9,0.086995868,-0.013868075,Legitimate User,10947,2.291165443
10,0.011206988,-0.010964237,Legitimate User,2754,0.511730091
11,0.226568344,-0.038731927,Legitimate User,26713,6.023248908
12,0.024235735,-0.009976437,Legitimate User,4111,0.77837041
13,-0.000137487,-0.008026164,Legitimate User,1441,0.17970114
14,0.02437848,0.059929966,Legitimate User,1698,-0.840286944
15,-0.010552009,-0.010128126,Legitimate User,402,-0.006028773
16,0.140490363,-0.021857922,Legitimate User,16935,3.71383618
17,0.076516784,-0.002607178,Legitimate User,9437,1.792553244
18,0.024138821,0.000343289,Legitimate User,3742,0.541155529
19,-0.006105338,-0.007053272,Legitimate User,770,0.022463906
20,0.001943566,-0.001313364,Legitimate User,1430,0.071549577
21,0.048288897,-0.019110432,Legitimate User,6996,1.544743058
22,0.026298953,0.020172203,Legitimate User,3284,0.126957535
23,-0.011726266,-0.006769539,Legitimate User,160,-0.111410561
24,-0.011072889,-0.008561515,Legitimate User,292,-0.054897163
25,0.043201569,-0.002497298,Legitimate User,5876,1.038565613
26,0.06308894,0.010888946,Legitimate User,7534,1.187325697
27,-0.000425516,-0.004684026,Legitimate User,1294,0.099246274
28,0.044156929,-0.01290958,Legitimate User,6340,1.294383589
29,0.08196179,0.128118157,Legitimate User,5472,-0.989058419
30,0.190615232,-0.029133116,Legitimate User,22540,5.006686911
31,-0.004397379,-0.000709285,Legitimate User,732,-0.08613964
32,0.31765868,-0.106126641,Legitimate User,38781,9.619089483
33,0.077809762,-0.027840489,Legitimate User,10451,2.419865443
34,0.019909139,0.014928054,Legitimate User,2784,0.102089966
35,-0.006590401,-0.010069048,Legitimate User,823,0.080633683
36,-0.007874817,-0.003049795,Legitimate User,442,-0.11025589
37,-0.010307852,-0.007880403,Legitimate User,350,-0.052821999
38,0.029875816,0.019363371,Legitimate User,3694,0.226623263
39,0.069601277,-0.03101977,Legitimate User,9686,2.285026528
40,0.133939972,-0.027321334,Legitimate User,16427,3.65508336
41,-0.004882089,-0.010087324,Legitimate User,1006,0.120451911
42,0.006847004,0.022621487,Legitimate User,1122,-0.369324838
43,0.000223286,-0.005333551,Legitimate User,1386,0.125169252
44,0.16577153,0.017515817,Legitimate User,18267,3.363369678
45,0.134914899,0.006157532,Legitimate User,15365,2.974029612
46,0.022750954,0.039258686,Legitimate User,2242,-0.391566508
47,0.02101281,-0.020976444,Legitimate User,4149,0.960163943
48,0.060101701,-0.022803058,Legitimate User,8384,1.93293066
49,-0.006433468,-0.003513853,Legitimate User,612,-0.066580652
50,-0.004111738,0.002240384,Legitimate User,660,-0.147196758
51,0.053731889,0.046822042,Legitimate User,5287,0.136974955
52,0.007990609,-0.007052632,Legitimate User,2275,0.341586953
53,0.017354619,-0.015000461,Legitimate User,3551,0.734905057
54,-0.012117886,-0.011484605,Legitimate User,282,-0.011636733
55,-0.009759416,-0.010310227,Legitimate User,493,0.014995486
56,-0.00291451,-0.004217431,Legitimate User,1012,0.033061288
57,0.002807694,-0.006602925,Legitimate User,1706,0.213811262
58,-0.01324313,-0.009791284,Legitimate User,103,-0.075489792
59,-0.011067975,-0.005580563,Legitimate User,189,-0.124418438
60,0.018534936,-0.016240118,Legitimate User,3720,0.792294562
61,0.002111333,-0.004712405,Legitimate User,1566,0.153751836
62,0.01331575,0.026662997,Legitimate User,1672,-0.310098439
63,-0.004046322,-0.006452614,Legitimate User,969,0.054602804
64,0.050025634,-0.022710464,Legitimate User,7307,1.655576014
65,0.039747714,0.033972862,Legitimate User,4240,0.12392715
66,-0.013801369,-0.010671584,Legitimate User,74,-0.068291064
67,0.047474596,-0.017858768,Legitimate User,6866,1.487555843
68,0.256067591,-0.087154066,Legitimate User,31546,7.782253662
69,-0.002675698,-0.002153055,Legitimate User,966,-0.014267546
70,0.251730104,-0.021733795,Legitimate User,28808,6.223451468
71,-0.009046292,-0.005038912,Legitimate User,386,-0.090285572
72,0.038216338,0.042993287,Legitimate User,3763,-0.116204344
73,-0.000274633,0.018002757,Legitimate User,522,-0.422056139
74,0.250062707,-0.076861054,Legitimate User,30547,7.415015947
75,0.04145951,-0.016452915,Legitimate User,6175,1.317297428
76,0.007553983,0.047078138,Legitimate User,348,-0.921481982
77,-0.005283007,0.003703811,Legitimate User,484,-0.205107773
78,0.005153858,-0.013322213,Legitimate User,2190,0.420467072
79,-0.01335472,-0.010507908,Legitimate User,116,-0.061899524
80,-0.009944811,-0.010562855,Legitimate User,482,0.016208514
81,-0.011796574,-0.012282849,Legitimate User,344,0.014942333
82,0.002803321,-0.009469923,Legitimate User,1805,0.283001822
83,-0.002684893,0.004094147,Legitimate User,748,-0.159002126
84,0.283315411,-0.100471128,Legitimate User,34917,8.727124532
85,0.0188498,-0.00597336,Legitimate User,3397,0.561133545
86,0.035981646,-0.015621558,Legitimate User,5561,1.179804695
87,0.021022116,-0.003011916,Legitimate User,3526,0.543234481
88,-0.010891072,-0.010286918,Legitimate User,371,-0.002761311
89,0.002550236,0.002537316,Legitimate User,1361,-0.003630189
90,-0.000948552,0.005424433,Legitimate User,887,-0.146379663
91,0.019876389,0.000667065,Legitimate User,3276,0.429147385
92,-0.005297916,-0.010356903,Legitimate User,971,0.116511217
93,0.059854398,-0.017424406,Legitimate User,8173,1.750870744
94,-0.003549333,0.002011715,Legitimate User,728,-0.12937116
95,-0.010518029,-0.008525346,Legitimate User,350,-0.043496327
96,0.081488736,0.007240253,Legitimate User,9626,1.671983951
97,0.040627398,0.022414586,Legitimate User,4736,0.398306804
98,-0.000277953,0.011950539,Legitimate User,732,-0.284650855
99,-0.009357913,-0.009738148,Legitimate User,516,0.010741222
100,0.076079975,0.019109981,Legitimate User,8635,1.302001266
101,0.013800931,-0.008193166,Legitimate User,2935,0.499234506
102,-0.003607994,-0.006869756,Legitimate User,1030,0.080907048
103,0.004449581,-0.011029451,Legitimate User,2035,0.355117084
104,0.016282983,-0.006810038,Legitimate User,3152,0.522521341
105,0.041717944,-0.014395347,Legitimate User,6131,1.278234708
106,0.022580212,-0.009047894,Legitimate User,3902,0.719034728
107,0.023907662,-0.018064574,Legitimate User,4357,0.956699599
108,0.153264439,-0.036526313,Legitimate User,18810,4.306418471
109,0.02509371,0.015949323,Legitimate User,3302,0.197658803
110,-0.010681175,-0.003556364,Legitimate User,160,-0.162929998
111,0.040219636,-0.015281234,Legitimate User,6002,1.260189156
112,0.005637824,-6.17E-05,Legitimate User,1781,0.125143718
113,-0.003155852,-0.009905095,Legitimate User,1184,0.154850815
114,0.105511792,-0.020624678,Legitimate User,13159,2.858747933
115,0.003858068,0.037680758,Legitimate User,280,-0.791493697
